nn;nm;vid;ob;up
1;учет процентов по гарантии на внебалансе;Не используется;0;?
1;вынос срочных процентов на внеб.;Не используется;0;?
8;продажа. списание пени по процентам;Не используется;0;?
13412;гашение платы за открытый лимит;Гашение;Комиссия;?
20251;восстановление сол;Не используется;0;?
2;+плата за необеспечение;Не используется;0;?
1;списание просроченной платы за резервирование ресурсов за счет резерва;Списание;Комиссия;?
135865;плата за обслуживание кредита;Гашение;Комиссия;?
7;увеличение резерва по просрочке;Не используется;0;?
2531;присуждение пени за кредит;Не используется;0;?
1;+зафиксированная в дату реструктуризации просроченная плата за обслуживание кредита;Не используется;0;U
138;гашение учтенных отложенных процентов в фикс. суммах;Гашение;Проценты;?
2;резервирование;Не используется;0;U
14;гашение просроченной платы за резервирование ресурсов присужденной к получению;Гашение;Комиссия;?
14;плата за внесение изменений в кред. документацию;Гашение;Комиссия;?
21;вынос платы за необеспечение;Не используется;0;?
140;гашение присужденной госпошлины, списанной на внебаланс;Гашение;Госпошлина;?
146;плата за необеспечение;Гашение;Комиссия;?
162;присуждение просроченной платы за ведение ссудного счета;Не используется;0;?
3;-просроченная плата за резервирование ресурсов;Не используется;0;?
15;гашение учтенной неустойки за пр.кредит, признанной в дату реструктуризации;Гашение;Пени;?
3401;-срочные проценты на внебалансе;Не используется;0;?
1;гашение просроченной ссудной задолженности по отдельному графику;Не используется;0;?
15;гашение зафиксированной в дату реструктуризации просроченной платы за обслуживание кредита;Гашение;Комиссия;?
1518;гашение присужденных пени за кредит;Гашение;Пени;?
83;списание просроченной платы за ведение ссудного счета;Списание;Комиссия;?
1545;гашение просроченной платы за использование лимита;Гашение;Комиссия;?
15694;гашение платы за выдачу кредита/открытие кредитной линии_сев;Гашение;Комиссия;?
157;гашение просроченной платы за неполное исполнение обязательств в части объема обеспечения;Гашение;Комиссия;?
2;признание неустоек, зафиксированные на день реструктуризации, по плате за операции по ссудному счету;Не используется;0;?
16;+компенсация пени по просроченной ссудной задолженности;Не используется;0;U
9;вынос учтенной комиссии за использование лимита;Не используется;0;?
245;вынос платы за пользование открытым лимитом;Не используется;0;?
6;учет комиссии за ведение ссудного счета;Не используется;0;?
17;вынос на просрочку платы за резервирование кюл;Не используется;0;?
6;перенос просроченной платы за обслуж-е кредита из другого договора при переводе долга;Не используется;0;?
19;начисление неустойки по плате за выдачу кредита/открытие кредитной линии;Не используется;0;?
157;гашение неучтенной просроченной платы за обслуживание кредита;Гашение;Комиссия;?
16;гашение учтенной комиссии за использование лимита;Гашение;Комиссия;?
171;возмещение - учет процентов на внебалансе (юр.лица);Не используется;0;?
2309;списание просроченной ссуды на в/б за счет резерва;Списание;Основной долг;?
1169;иаск. квитовка гашения кредита;Не используется;0;?
2214;иаск. квитовка уменьшения лимита;Не используется;0;?
3;перенос учтенных процентов в другой договор при изменении валюты кредита;Не используется;0;?
4750;уменьшение сол;Не используется;0;?
246;списание учт. неуст. за пр.кредит, признанной в дату реструктуризации, на в/б;Списание;Пени;?
179;начисление платы за резервирование;Не используется;0;?
1;продажа. списание просроченной задолженности по процентам (присужденной);Списание;Проценты;U
3;возврат излишне учтенных процентов;Не используется;0;?
1672;гашение пени за использование лимита;Гашение;Пени;?
33573;уменьшение/восстановление рвп по срочным %%;Не используется;0;?
528;+неустойка за просрочку платы за обслуживание кредита;Не используется;0;?
17;гашение неустойки за просрочку платы за резервирование кюл;Гашение;Пени;?
469;-просроченная задолженность по процентам;Не используется;0;?
17;гашение просроченной платы за резервирование кюл;Гашение;Комиссия;?
170;гашение присужденной неустойки по плате за обслуживание кредита;Гашение;Пени;?
380;-просроченная плата за обслуживание кредита;Не используется;0;?
1;продажа. списание просроченной задолж. по проц. на внебалансе (присужденной);Списание;Проценты;U
35;сторнирование неустойки за просрочку процентов;Не используется;0;?
3;+возмещение -неучтенные проценты (юрл);Не используется;0;?
2;вынос проц за пр. кредит учтенных на внебал. (112);Не используется;0;?
1;списание неполученных по проср. кредитам на в/б %;Не используется;0;U
512;+компенсация за досрочное погашение кредита;Не используется;0;?
21;+просроченная плата за использование лимита;Не используется;0;?
17494;плата за открытие лимита овердрафта;Гашение;Комиссия;?
