VDOKROUT_CLF,F7M_ID,ID_DATE,Дата оформления ид. Документа,DATE,
VDOKROUT_CLU,U7M_ID,REG_ADDRESS_districtName,Название района,STRING,60
VDOKROUT_CLU,U7M_ID,REG_ADDRESS_cityName,Название города,STRING,50
VDOKROUT_CLU,U7M_ID,CRM_GSZ_ID,ID группы CRM,STRING,60
VDOKROUT_CLU,U7M_ID,CRM_TOP_GSZ_ID,ID верхнеуровневой группы CRM,STRING,60
VDOKROUT_CLF,F7M_ID,SNILS,СНИЛС,STRING,15
VDOKROUT_CLF,F7M_ID,H_PHONE_phoneNumber,Номер полный (Домашний телефон),STRING,18
VDOKROUT_CLU,U7M_ID,F_ADDRESS_districtName,Название района,STRING,60
VDOKROUT_CLU,U7M_ID,F_ADDRESS_cityName,Название города,STRING,50
VDOKROUT_CLF,F7M_ID,ID_TYPE,Тип идентифицирующих документов,STRING,2
VDOKROUT_CLF,F7M_ID,ID_SERIES,Серия,STRING,20
VDOKROUT_CLF,F7M_ID,ID_NUM,Номер,STRING,20
VDOKROUT_CLF,F7M_ID,ID_SOURCE,Орган выдавший ид. Документ,STRING,160
VDOKROUT_ACC,ACC_ID,ACC_CURRENCY,Валюта счета,STRING,3
VDOKROUT_ACC,ACC_ID,ACC_BIK,БИК Подразделения,STRING,9
VDOKROUT_CLU,U7M_ID,SHORT_NAME,Краткое наименование,STRING,256
VDOKROUT_CLU,U7M_ID,OPF,ОПФ,STRING,30
VDOKROUT_CLU,U7M_ID,REG_DATE,Дата регистрации,DATE,
VDOKROUT_CLF,F7M_ID,L_NAME,Отчество,STRING,40
VDOKROUT_CLF,F7M_ID,B_PLACE,Место Рождения,STRING,250
VDOKROUT_CLF,F7M_ID,B_DATE,Дата рождения,DATE,
VDOKROUT_RDOC,RDOC_ID,DOC_NUM,Номер документа,STRING,256
VDOKROUT_RDOC,RDOC_ID,DOC_DATE,Дата документа,DATE,
VDOKROUT_CLU,U7M_ID,OKPO,ОКПО,STRING,15
VDOKROUT_CLU,U7M_ID,FULL_NAME,Полное наименование,STRING,1000
VDOKROUT_CLU,U7M_ID,F_ADDRESS_flatNumber,Номер квартиры,STRING,20
VDOKROUT_CLU,U7M_ID,FAX,Факс,STRING,18
VDOKROUT_CLF,F7M_ID,INN,ИНН,STRING,12
VDOKROUT_CLF,F7M_ID,D_ADDRESS_country,Страна прописки,STRING,100
VDOKROUT_CLF,F7M_ID,POSITION,Должность,STRING,60
VDOKROUT_LK,LK_ID,FLAG_NEW,Флаг новой связи,NUMBER,
VDOKROUT_CLF,F7M_ID,F_NAME,Имя,STRING,40
VDOKROUT_CLF,F7M_ID,S_NAME,Фамилия,STRING,40
VDOKROUT_CLU,U7M_ID,OGRN,ОГРН/ОГРНИП,STRING,15
VDOKROUT_CLU,U7M_ID,KPP,КПП,STRING,9
LIMITOUT,U7M_ID,SKE_DEBTLEASING0,,NUMBER,
LIMITOUT,U7M_ID,SKE_DLOANS,,NUMBER,
PDOUT,U7M_ID,CALIBR_PARAM_PRICE3,,NUMBER,
PDOUT,U7M_ID,CALIBR_PARAM_ST1,,NUMBER,
LIMITOUT,U7M_ID,SKE_DEBTCREDIT0,,NUMBER,
LIMITOUT,U7M_ID,SKE_DEBTLOAN0,,NUMBER,
PDOUT,U7M_ID,CALIBR_PARAM3,,NUMBER,
PDOUT,U7M_ID,CALIBR_PARAM_PRICE1,,NUMBER,
PDOUT,U7M_ID,CALIBR_PARAM_PRICE2,,NUMBER,
PDOUT,U7M_ID,PD_OFFLINE_PRICE,,NUMBER,
PDOUT,U7M_ID,PD_OFFLINE_REZERV,,NUMBER,
PDOUT,U7M_ID,RATING_OFFLINE,,NUMBER,
PDOUT,U7M_ID,RATING_OFFLINE_PRICE,,NUMBER,
LIMITOUT,U7M_ID,SKE_DLISING,,NUMBER,
LIMITOUT,U7M_ID,ACTREPORTFLAG,,NUMBER,
LIMITOUT,U7M_ID,SKE_D_0,,NUMBER,
LIMITOUT,U7M_ID,SKE_D_T_OFFLINE,,NUMBER,
LIMITOUT,U7M_ID,SKE_OFFLINE,,NUMBER,
PDOUT,U7M_ID,CALIBR_PARAM_ST2,,NUMBER,
PDOUT,U7M_ID,CALIBR_PARAM_ST3,,NUMBER,
PDOUT,U7M_ID,RATING_OFFLINE_REZERV,,NUMBER,
LIMITOUT,U7M_ID,SKE_BASE,,NUMBER,
PDOUT,U7M_ID,PD_STANDALONE,,NUMBER,
PDOUT,U7M_ID,PD_OFFLINE,,NUMBER,
PDOUT,U7M_ID,CALIBR_PARAM1,,NUMBER,
PDOUT,U7M_ID,CALIBR_PARAM2,,NUMBER,
PDOUT,U7M_ID,FACTOR98,,NUMBER,
PDOUT,U7M_ID,FACTOR99,,NUMBER,
PDOUT,U7M_ID,FACTOR100,,NUMBER,
PDOUT,U7M_ID,FACTOR21,,NUMBER,
PDOUT,U7M_ID,FACTOR22,,NUMBER,
PDOUT,U7M_ID,FACTOR23,,NUMBER,
PDOUT,U7M_ID,FACTOR32,,NUMBER,
PDOUT,U7M_ID,FACTOR33,,NUMBER,
PDOUT,U7M_ID,FACTOR34,,NUMBER,
PDOUT,U7M_ID,FACTOR43,,NUMBER,
PDOUT,U7M_ID,FACTOR44,,NUMBER,
PDOUT,U7M_ID,FACTOR45,,NUMBER,
PDOUT,U7M_ID,FACTOR54,,NUMBER,
PDOUT,U7M_ID,FACTOR55,,NUMBER,
PDOUT,U7M_ID,FACTOR56,,NUMBER,
PDOUT,U7M_ID,FACTOR65,,NUMBER,
PDOUT,U7M_ID,FACTOR66,,NUMBER,
PDOUT,U7M_ID,FACTOR67,,NUMBER,
PDOUT,U7M_ID,FACTOR76,,NUMBER,
PDOUT,U7M_ID,FACTOR77,,NUMBER,
PDOUT,U7M_ID,FACTOR78,,NUMBER,
PDOUT,U7M_ID,FACTOR87,,NUMBER,
PDOUT,U7M_ID,FACTOR88,,NUMBER,
PDOUT,U7M_ID,FACTOR89,,NUMBER,
PDOUT,U7M_ID,FACTOR8,,NUMBER,
PDOUT,U7M_ID,FACTOR9,,NUMBER,
PDOUT,U7M_ID,FACTOR10,,NUMBER,
PDOUT,U7M_ID,FACTOR11,,NUMBER,
PDOUT,U7M_ID,FACTOR12,,NUMBER,
PDOUT,U7M_ID,FACTOR13,,NUMBER,
PDOUT,U7M_ID,FACTOR14,,NUMBER,
PDOUT,U7M_ID,FACTOR15,,NUMBER,
PDOUT,U7M_ID,FACTOR16,,NUMBER,
PDOUT,U7M_ID,FACTOR17,,NUMBER,
PDOUT,U7M_ID,FACTOR18,,NUMBER,
PDOUT,U7M_ID,FACTOR19,,NUMBER,
PDOUT,U7M_ID,FACTOR20,,NUMBER,
PDOUT,U7M_ID,FACTOR24,,NUMBER,
PDOUT,U7M_ID,FACTOR25,,NUMBER,
PDOUT,U7M_ID,FACTOR26,,NUMBER,
PDOUT,U7M_ID,FACTOR27,,NUMBER,
PDOUT,U7M_ID,FACTOR28,,NUMBER,
PDOUT,U7M_ID,FACTOR29,,NUMBER,
PDOUT,U7M_ID,FACTOR30,,NUMBER,
PDOUT,U7M_ID,FACTOR31,,NUMBER,
PDOUT,U7M_ID,FACTOR35,,NUMBER,
PDOUT,U7M_ID,FACTOR36,,NUMBER,
PDOUT,U7M_ID,FACTOR37,,NUMBER,
PDOUT,U7M_ID,FACTOR38,,NUMBER,
PDOUT,U7M_ID,FACTOR39,,NUMBER,
PDOUT,U7M_ID,FACTOR40,,NUMBER,
PDOUT,U7M_ID,FACTOR41,,NUMBER,
PDOUT,U7M_ID,FACTOR42,,NUMBER,
PDOUT,U7M_ID,FACTOR46,,NUMBER,
PDOUT,U7M_ID,FACTOR47,,NUMBER,
PDOUT,U7M_ID,FACTOR48,,NUMBER,
PDOUT,U7M_ID,FACTOR49,,NUMBER,
PDOUT,U7M_ID,FACTOR50,,NUMBER,
PDOUT,U7M_ID,FACTOR51,,NUMBER,
PDOUT,U7M_ID,FACTOR52,,NUMBER,
PDOUT,U7M_ID,FACTOR53,,NUMBER,
PDOUT,U7M_ID,FACTOR57,,NUMBER,
PDOUT,U7M_ID,FACTOR58,,NUMBER,
PDOUT,U7M_ID,FACTOR59,,NUMBER,
PDOUT,U7M_ID,FACTOR60,,NUMBER,
PDOUT,U7M_ID,FACTOR61,,NUMBER,
PDOUT,U7M_ID,FACTOR62,,NUMBER,
PDOUT,U7M_ID,FACTOR63,,NUMBER,
PDOUT,U7M_ID,FACTOR64,,NUMBER,
PDOUT,U7M_ID,FACTOR68,,NUMBER,
PDOUT,U7M_ID,FACTOR69,,NUMBER,
PDOUT,U7M_ID,FACTOR70,,NUMBER,
PDOUT,U7M_ID,FACTOR71,,NUMBER,
PDOUT,U7M_ID,FACTOR72,,NUMBER,
PDOUT,U7M_ID,FACTOR73,,NUMBER,
PDOUT,U7M_ID,FACTOR74,,NUMBER,
PDOUT,U7M_ID,FACTOR75,,NUMBER,
PDOUT,U7M_ID,FACTOR79,,NUMBER,
PDOUT,U7M_ID,FACTOR80,,NUMBER,
PDOUT,U7M_ID,FACTOR81,,NUMBER,
PDOUT,U7M_ID,FACTOR82,,NUMBER,
PDOUT,U7M_ID,FACTOR83,,NUMBER,
PDOUT,U7M_ID,FACTOR84,,NUMBER,
PDOUT,U7M_ID,FACTOR85,,NUMBER,
PDOUT,U7M_ID,FACTOR86,,NUMBER,
PDOUT,U7M_ID,FACTOR90,,NUMBER,
