BO_ID;FEATURE_ID;MIN;MAX;categorial
529;DUR;12.0;18.0;
529;EXP;0.17;0.18;
529;AVP;0.0;0.01;
529;PRIV;0.5;0.75;
529;BALLOON;0.5;0.75;
529;PD;0.0;0.0048;
529;LGD;0;1;
529;CURRENCY;;;RUR
529;PRODUCT;;;1-M813EC
529;CREDIT_MODE;;;Credit Contract
529;CREDIT_INSTRUMENT;;;Credit
529;TARGET_GR;;;01
530;DUR;12.0;18.0;
530;EXP;0.14;0.15;
530;AVP;0.0;0.01;
530;PRIV;0.5;0.75;
530;BALLOON;0.5;0.75;
530;PD;0.0;0.0048;
530;LGD;0;1;
530;CURRENCY;;;RUR
530;PRODUCT;;;1-M813EC
530;CREDIT_MODE;;;Credit Contract
530;CREDIT_INSTRUMENT;;;Credit
530;TARGET_GR;;;01
531;DUR;12.0;18.0;
531;EXP;0.09;0.1;
531;AVP;0.0;0.01;
531;PRIV;0.75;1.0;
531;BALLOON;0.75;1.0;
531;PD;0.0;0.0048;
531;LGD;0;1;
531;CURRENCY;;;RUR
531;PRODUCT;;;1-M813EC
531;CREDIT_MODE;;;Credit Contract
531;CREDIT_INSTRUMENT;;;Credit
531;TARGET_GR;;;01
532;DUR;12.0;18.0;
532;EXP;0.12;0.13;
532;AVP;0.0;0.01;
532;PRIV;0.0;0.25;
532;BALLOON;0.0;0.25;
532;PD;0.0091;0.01725;
532;LGD;0;1;
532;CURRENCY;;;RUR
532;PRODUCT;;;1-M813EC
532;CREDIT_MODE;;;Credit Contract
532;CREDIT_INSTRUMENT;;;Credit
532;TARGET_GR;;;01
533;DUR;12.0;18.0;
533;EXP;0.11;0.12;
533;AVP;0.0;0.01;
533;PRIV;0.25;0.5;
533;BALLOON;0.25;0.5;
533;PD;0.0048;0.0091;
533;LGD;0;1;
533;CURRENCY;;;RUR
533;PRODUCT;;;1-M813EC
533;CREDIT_MODE;;;Credit Contract
533;CREDIT_INSTRUMENT;;;Credit
533;TARGET_GR;;;01
534;DUR;12.0;18.0;
534;EXP;0.06;0.07;
534;AVP;0.0;0.01;
534;PRIV;0.5;0.75;
534;BALLOON;0.5;0.75;
534;PD;0.0048;0.0091;
534;LGD;0;1;
534;CURRENCY;;;RUR
534;PRODUCT;;;1-M813EC
534;CREDIT_MODE;;;Credit Contract
534;CREDIT_INSTRUMENT;;;Credit
534;TARGET_GR;;;01
535;DUR;12.0;18.0;
535;EXP;0.15;0.16;
535;AVP;0.0;0.01;
535;PRIV;0.0;0.25;
535;BALLOON;0.0;0.25;
535;PD;0.0048;0.0091;
535;LGD;0;1;
535;CURRENCY;;;RUR
535;PRODUCT;;;1-M813EC
535;CREDIT_MODE;;;Credit Contract
535;CREDIT_INSTRUMENT;;;Credit
535;TARGET_GR;;;01
536;DUR;12.0;18.0;
536;EXP;0.16;0.17;
536;AVP;0.0;0.01;
536;PRIV;0.25;0.5;
536;BALLOON;0.25;0.5;
536;PD;0.0;0.0048;
536;LGD;0;1;
536;CURRENCY;;;RUR
536;PRODUCT;;;1-M813EC
536;CREDIT_MODE;;;Credit Contract
536;CREDIT_INSTRUMENT;;;Credit
536;TARGET_GR;;;01
538;DUR;12.0;18.0;
538;EXP;0.06;0.07;
538;AVP;0.0;0.01;
538;PRIV;0.25;0.5;
538;BALLOON;0.25;0.5;
538;PD;0.0091;0.01725;
538;LGD;0;1;
538;CURRENCY;;;RUR
538;PRODUCT;;;1-M813EC
538;CREDIT_MODE;;;Credit Contract
538;CREDIT_INSTRUMENT;;;Credit
538;TARGET_GR;;;01
539;DUR;12.0;18.0;
539;EXP;0.03;0.04;
539;AVP;0.0;0.01;
539;PRIV;0.5;0.75;
539;BALLOON;0.5;0.75;
539;PD;0.0091;0.01725;
539;LGD;0;1;
539;CURRENCY;;;RUR
539;PRODUCT;;;1-M813EC
539;CREDIT_MODE;;;Credit Contract
539;CREDIT_INSTRUMENT;;;Credit
539;TARGET_GR;;;01
542;DUR;12.0;18.0;
542;EXP;0.21;0.22;
542;AVP;0.0;0.01;
542;PRIV;0.0;0.25;
542;BALLOON;0.0;0.25;
542;PD;0.0;0.0048;
542;LGD;0;1;
542;CURRENCY;;;RUR
542;PRODUCT;;;1-M813EC
542;CREDIT_MODE;;;Credit Contract
542;CREDIT_INSTRUMENT;;;Credit
542;TARGET_GR;;;01
543;DUR;12.0;18.0;
543;EXP;0.13;0.14;
543;AVP;0.0;0.01;
543;PRIV;0.5;0.75;
543;BALLOON;0.5;0.75;
543;PD;0.0;0.0048;
543;LGD;0;1;
543;CURRENCY;;;RUR
543;PRODUCT;;;1-M813EC
543;CREDIT_MODE;;;Credit Contract
543;CREDIT_INSTRUMENT;;;Credit
543;TARGET_GR;;;01
545;DUR;12.0;18.0;
545;EXP;0.01;0.02;
545;AVP;0.0;0.01;
545;PRIV;0.75;1.0;
545;BALLOON;0.75;1.0;
