BO_ID;CLUST_ID;BO_QUALITY
1103;CORP_CRED;0.0
1104;CORP_CRED;0.0003
1105;CORP_CRED;0.0005
1106;CORP_CRED;0.0003
1107;CORP_CRED;0.0016
1108;CORP_CRED;0.0
1109;CORP_CRED;0.0
1110;CORP_CRED;0.0
1111;CORP_CRED;0.0
1112;CORP_CRED;0.0
1113;CORP_CRED;0.0005
1114;CORP_CRED;0.0003
1115;CORP_CRED;0.0005
1116;CORP_CRED;0.0
1117;CORP_CRED;0.0003
1118;CORP_CRED;0.0
1119;CORP_CRED;0.0
1120;CORP_CRED;0.0
1121;CORP_CRED;0.0
1122;CORP_CRED;0.0003
1123;CORP_CRED;0.0011
1124;CORP_CRED;0.0025
1125;CORP_CRED;0.0
1126;CORP_CRED;0.0
1127;CORP_CRED;0.0011
1128;CORP_CRED;0.0011
1129;CORP_CRED;0.0014
1130;CORP_CRED;0.0005
1131;CORP_CRED;0.0016
1132;CORP_CRED;0.0
1133;CORP_CRED;0.0005
1134;CORP_CRED;0.0003
1135;CORP_CRED;0.0014
1136;CORP_CRED;0.0058
1137;CORP_CRED;0.0096
1138;CORP_CRED;0.0003
1139;CORP_CRED;0.0
1140;CORP_CRED;0.0019
1141;CORP_CRED;0.0
1142;CORP_CRED;0.006
1143;CORP_CRED;0.0
1144;CORP_CRED;0.0016
1145;CORP_CRED;0.0003
1146;CORP_CRED;0.0003
1147;CORP_CRED;0.0014
1148;CORP_CRED;0.0003
1149;CORP_CRED;0.0
1150;CORP_CRED;0.0
1151;CORP_CRED;0.0025
1152;CORP_CRED;0.0003
1153;CORP_CRED;0.0312
1154;CORP_CRED;0.0
1155;CORP_CRED;0.0099
1156;CORP_CRED;0.0011
1157;CORP_CRED;0.0005
1158;CORP_CRED;0.009
1159;CORP_CRED;0.0099
1160;CORP_CRED;0.0036
1161;CORP_CRED;0.0038
1162;CORP_CRED;0.0044
1163;CORP_CRED;0.0041
1164;CORP_CRED;0.0022
1165;CORP_CRED;0.0019
1166;CORP_CRED;0.0008
1167;CORP_CRED;0.0016
1168;CORP_CRED;0.0134
1169;CORP_CRED;0.0099
1170;CORP_CRED;0.0159
1171;CORP_CRED;0.0014
1172;CORP_CRED;0.0066
1173;CORP_CRED;0.0016
1174;CORP_CRED;0.0
1175;CORP_CRED;0.0003
1176;CORP_CRED;0.0036
1177;CORP_CRED;0.0008
1178;CORP_CRED;0.0008
1179;CORP_CRED;0.0074
1180;CORP_CRED;0.0047
1181;CORP_CRED;0.0005
1182;CORP_CRED;0.0014
1183;CORP_CRED;0.0003
1184;CORP_CRED;0.0194
1185;CORP_CRED;0.0205
